d_bias_x1e3_mean,d_bias_x1e3_std,d_mae_x1e3_mean,d_mae_x1e3_std,d_rmse_x1e3_mean,d_rmse_x1e3_std,k_bias_mean,k_bias_std,k_mae_mean,k_mae_std,k_rmse_mean,k_rmse_std,method,n
-0.4955508162577947,0.042760247212861514,0.5009505823254585,0.04710810523991757,0.5575826391577721,0.07284291843604106,-0.6277676671743393,0.01896474857864851,0.6277676671743393,0.01896474857864851,0.65695920586586,0.016329352962088546,mono_adc_as_d,12
0.03591075765628678,0.025937117613898546,0.2500268549968799,0.12775463497694226,0.3362604820479949,0.1562586146436535,-0.018393274047411978,0.014508372784237882,0.22481397477289042,0.10020278352858498,0.28694727271795273,0.11941870469981475,poly_dki_fit,12
0.06152280755729104,0.10356365955466447,0.12508199666626751,0.061342928429953716,0.15623062398905554,0.06881140742605915,0.03631877568356382,0.027221831034026298,0.0791035898340245,0.01842417875706921,0.09983142542963226,0.022297774939343894,cnn_pinn_log,48
-0.003131351881165756,0.0623621553108177,0.08609266866308947,0.024876751346274546,0.11148156799996893,0.029218396506100894,8.441748529245766e-06,0.019435261794562005,0.05690516966084639,0.006543120975238549,0.07200723894250889,0.007210154741157889,cnn_supervised,48
-0.026441683534358162,0.04822416584940667,0.11867399505960445,0.050660908115758414,0.15225428016856313,0.06405285854935483,0.03863947334078451,0.03664738618553626,0.08532939587409298,0.022930635373316313,0.10758612677454948,0.027201240526510753,pinn_log_no_gt,48
0.0027947673531040587,0.04931679915994926,0.1414782733966907,0.049837515259387496,0.1788813934351007,0.06450436223804949,0.0811973413801752,0.04788209200070134,0.11275237635709345,0.05820107649038711,0.14032241872822246,0.07123457909400135,pinn_log_predict_s0,48
-0.012785799088305794,0.046776580289898756,0.11898912233300507,0.04927617609996718,0.15199626927884916,0.06311210466672446,0.06509205047041178,0.036555970903889824,0.0908761858008802,0.02819963131166532,0.11386960729335745,0.03362258680467594,pinn_log_rician_no_gt,48
-0.0013077794089137267,0.04753822217492877,0.14417559141293168,0.04724550575580944,0.18348667561076581,0.06148149556380672,0.08025839936453849,0.04408001481734625,0.1057552071288228,0.04674831767062824,0.13103996582018831,0.05583697820845136,pinn_log_rician_predict_s0,48
-0.004478629192211277,0.03870321817408844,0.10685868700966239,0.04868474814916282,0.1348749432557573,0.06203179747821699,0.03705498642132928,0.02157396097517343,0.0728772454118977,0.02174880515056549,0.09209522053909798,0.026692313307559813,semi_supervised_mlp,48
0.0009546094297500455,0.034400037138323014,0.10738382286702593,0.04996039477241144,0.1352998469180117,0.06369618652720292,-0.00037360690475907177,0.016107174830319676,0.06333200346368055,0.014648705651886439,0.07991581464496751,0.017857435654709968,supervised_mlp,48
