train_sigma,seed,method,epoch,train_loss,val_loss
train_sigma_0.01,seed123,pinn_log,30,0.09769814081289886,0.1570635437965393
train_sigma_0.01,seed123,pinn_log,31,0.09737763403232487,0.15693005919456482
train_sigma_0.01,seed123,pinn_log,32,0.09708840596429949,0.15875017642974854
train_sigma_0.01,seed123,pinn_log,33,0.09676797140194122,0.15716667473316193
train_sigma_0.01,seed123,pinn_log,34,0.09647490254561715,0.15581518411636353
train_sigma_0.01,seed123,pinn_log,35,0.09624711182614172,0.15551972389221191
train_sigma_0.01,seed123,pinn_log,36,0.09595795301060897,0.15558677911758423
train_sigma_0.01,seed123,pinn_log,37,0.0957294025576429,0.15556123852729797
train_sigma_0.01,seed123,pinn_log,38,0.09545773672109684,0.15595054626464844
train_sigma_0.01,seed123,pinn_log,39,0.09523300806823039,0.1555260866880417
train_sigma_0.01,seed123,pinn_log,40,0.09501292052961276,0.1552160233259201
train_sigma_0.01,seed123,pinn_log,41,0.09480645385386295,0.15435878932476044
train_sigma_0.01,seed123,pinn_log,42,0.09462097168862342,0.155854731798172
train_sigma_0.01,seed123,pinn_log,43,0.0943869791488799,0.15584903955459595
train_sigma_0.01,seed123,pinn_log,44,0.09418708787366835,0.15537133812904358
train_sigma_0.01,seed123,pinn_log,45,0.09397548117356937,0.15397706627845764
train_sigma_0.01,seed123,pinn_log,46,0.09381477931171181,0.15537258982658386
train_sigma_0.01,seed123,pinn_log,47,0.09358642027577922,0.1545131504535675
train_sigma_0.01,seed123,pinn_log,48,0.0934199729322666,0.15451012551784515
train_sigma_0.01,seed123,pinn_log,49,0.0932640586385292,0.15397343039512634
train_sigma_0.01,seed123,pinn_log,50,0.09302052719540718,0.15517975389957428
train_sigma_0.01,seed123,pinn_log_predict_s0,1,0.6465953874752745,0.45515093207359314
train_sigma_0.01,seed123,pinn_log_predict_s0,2,0.5281405802031348,0.4110426902770996
train_sigma_0.01,seed123,pinn_log_predict_s0,3,0.45388554667620945,0.39534008502960205
train_sigma_0.01,seed123,pinn_log_predict_s0,4,0.3613111867114882,0.3409992456436157
train_sigma_0.01,seed123,pinn_log_predict_s0,5,0.20706517761896287,0.22551345825195312
train_sigma_0.01,seed123,pinn_log_predict_s0,6,0.14235981419965735,0.2486230432987213
train_sigma_0.01,seed123,pinn_log_predict_s0,7,0.13453910361730373,0.2325008660554886
train_sigma_0.01,seed123,pinn_log_predict_s0,8,0.12919458843528506,0.2344527244567871
train_sigma_0.01,seed123,pinn_log_predict_s0,9,0.12531075384698087,0.2268688976764679
train_sigma_0.01,seed123,pinn_log_predict_s0,10,0.12215542872459445,0.2261442244052887
