d_bias_x1e3,d_mae_x1e3,d_rmse_x1e3,k_bias,k_mae,k_rmse,method,seed,test_noise,train_noise
-0.02058018557727337,0.09364017844200134,0.14958782494068146,-0.6246889233589172,0.6246889233589172,0.6546034812927246,mono_adc_as_d,42,0.01,none
0.028480326756834984,0.1512354165315628,0.23254865407943726,-0.511450469493866,0.5186060667037964,0.5707260370254517,poly_dki_fit,42,0.01,none
-0.00029178583645261824,0.032427091151475906,0.044497035443782806,0.0013073125155642629,0.056955736130476,0.07211177796125412,supervised_mlp,42,0.01,0.01
0.007517910096794367,0.03245057538151741,0.04494420811533928,-0.5801449418067932,0.5801449418067932,0.6080963015556335,pinn_log_no_gt,42,0.01,0.01
0.009372050873935223,0.03448730334639549,0.0483739860355854,-0.5754483342170715,0.5754483342170715,0.6045482158660889,pinn_log_rician_no_gt,42,0.01,0.01
0.010994385927915573,0.03196015954017639,0.043184664100408554,-0.5205382108688354,0.5205382108688354,0.5438264012336731,semi_supervised_mlp,42,0.01,0.01
-0.01874074712395668,0.045248985290527344,0.07629076391458511,-0.6082055568695068,0.6082055568695068,0.6388599872589111,pinn_log_predict_s0,42,0.01,0.01
0.018244728446006775,0.06028438359498978,0.08040253818035126,-0.5456341505050659,0.5456341505050659,0.5711981058120728,pinn_log_rician_predict_s0,42,0.01,0.01
-0.00580183370038867,0.05287797003984451,0.07143237441778183,0.0012152103008702397,0.052353113889694214,0.06774865090847015,cnn_supervised,42,0.01,0.01
0.1971323937177658,0.42831000685691833,0.5023341178894043,0.047731466591358185,0.15997949242591858,0.20195318758487701,cnn_pinn_log,42,0.01,0.01
0.019579794257879257,0.0365910567343235,0.048390984535217285,-0.007245203480124474,0.05630169063806534,0.0715169757604599,supervised_mlp,42,0.01,0.03
0.11530949175357819,0.13018424808979034,0.14428453147411346,-0.36218464374542236,0.3639586865901947,0.3972080945968628,pinn_log_no_gt,42,0.01,0.03
0.11616387218236923,0.13166460394859314,0.1458560675382614,-0.3607231080532074,0.362267404794693,0.39502188563346863,pinn_log_rician_no_gt,42,0.01,0.03
0.05521603673696518,0.06509454548358917,0.07654275000095367,-0.3332807421684265,0.3345866799354553,0.36316367983818054,semi_supervised_mlp,42,0.01,0.03
-0.03674645721912384,0.11808491498231888,0.17608219385147095,-0.48986127972602844,0.49023109674453735,0.5304835438728333,pinn_log_predict_s0,42,0.01,0.03
0.02781716361641884,0.14552567899227142,0.17956452071666718,-0.45127034187316895,0.4518603980541229,0.48995107412338257,pinn_log_rician_predict_s0,42,0.01,0.03
0.02161635458469391,0.05980885401368141,0.07969716936349869,-0.004821494687348604,0.05371163412928581,0.0690823420882225,cnn_supervised,42,0.01,0.03
0.34813958406448364,0.3700595498085022,0.40193384885787964,-0.1295338124036789,0.14366397261619568,0.1654767394065857,cnn_pinn_log,42,0.01,0.03
0.041920777410268784,0.052621807903051376,0.06240667402744293,-0.015648556873202324,0.057985853403806686,0.07355916500091553,supervised_mlp,42,0.01,0.05
0.046897757798433304,0.12287531048059464,0.14806444942951202,-0.36305707693099976,0.3654457926750183,0.4023192524909973,pinn_log_no_gt,42,0.01,0.05
0.07646026462316513,0.1371992528438568,0.1567414104938507,-0.3640729486942291,0.36826327443122864,0.4099424481391907,pinn_log_rician_no_gt,42,0.01,0.05
0.1038970947265625,0.11439544707536697,0.12389251589775085,-0.18491873145103455,0.1907772719860077,0.21323075890541077,semi_supervised_mlp,42,0.01,0.05
-0.038361240178346634,0.14756809175014496,0.20542410016059875,-0.3717934489250183,0.3757668137550354,0.4192849099636078,pinn_log_predict_s0,42,0.01,0.05
0.060942523181438446,0.1627422571182251,0.18893902003765106,-0.2739739716053009,0.28494420647621155,0.32374611496925354,pinn_log_rician_predict_s0,42,0.01,0.05
0.07393735647201538,0.09610220044851303,0.11923721432685852,-0.020167315378785133,0.05773327127099037,0.07307205349206924,cnn_supervised,42,0.01,0.05
0.3546047508716583,0.3913693428039551,0.4263478219509125,-0.11688956618309021,0.1306208372116089,0.15299442410469055,cnn_pinn_log,42,0.01,0.05
0.10036985576152802,0.1101609542965889,0.11720260977745056,-0.03709384426474571,0.06760483980178833,0.0851047933101654,supervised_mlp,42,0.01,0.08
0.18529680371284485,0.21832440793514252,0.233824223279953,-0.11690625548362732,0.1541052758693695,0.180327907204628,pinn_log_no_gt,42,0.01,0.08
0.1421392560005188,0.19932396709918976,0.21688683331012726,-0.15647678077220917,0.19811154901981354,0.23177996277809143,pinn_log_rician_no_gt,42,0.01,0.08
0.1717388927936554,0.18239478766918182,0.1926874816417694,-0.11534827947616577,0.13780170679092407,0.1599934697151184,semi_supervised_mlp,42,0.01,0.08
0.04148079827427864,0.18765737116336823,0.224506214261055,-0.09298809617757797,0.16778969764709473,0.19928155839443207,pinn_log_predict_s0,42,0.01,0.08
0.09349627792835236,0.19968652725219727,0.22546230256557465,-0.09221991151571274,0.1522984355688095,0.1802450567483902,pinn_log_rician_predict_s0,42,0.01,0.08
0.1716689169406891,0.17535948753356934,0.2001737505197525,-0.031044606119394302,0.06193193048238754,0.07822644710540771,cnn_supervised,42,0.01,0.08
0.4228866696357727,0.4622686207294464,0.5141279697418213,-0.005990659352391958,0.06882220506668091,0.08674720674753189,cnn_pinn_log,42,0.01,0.08
-0.11849592626094818,0.2241927981376648,0.31983682513237,-0.624094545841217,0.624094545841217,0.6535079479217529,mono_adc_as_d,42,0.03,none
0.12861131131649017,0.330356240272522,0.4406013786792755,-0.3604136109352112,0.4067467749118805,0.4923911690711975,poly_dki_fit,42,0.03,none
-0.015884991735219955,0.08023670315742493,0.10407737642526627,0.006534995976835489,0.06482665985822678,0.0813446193933487,supervised_mlp,42,0.03,0.01
-0.026503602042794228,0.08341868221759796,0.11228755116462708,-0.5786839723587036,0.5786839723587036,0.6065396070480347,pinn_log_no_gt,42,0.03,0.01
-0.02299492247402668,0.08294999599456787,0.11169039458036423,-0.5735032558441162,0.5735032558441162,0.6025255918502808,pinn_log_rician_no_gt,42,0.03,0.01
-0.011381186544895172,0.07749100774526596,0.1019803062081337,-0.5184946060180664,0.518494725227356,0.5422512292861938,semi_supervised_mlp,42,0.03,0.01
-0.046143632382154465,0.09427460283041,0.13322046399116516,-0.6074486374855042,0.6074486374855042,0.6376422643661499,pinn_log_predict_s0,42,0.03,0.01
0.004326437599956989,0.09156476706266403,0.12224610149860382,-0.5439838171005249,0.5439838171005249,0.5697232484817505,pinn_log_rician_predict_s0,42,0.03,0.01
-0.04088839888572693,0.0685911774635315,0.09095823764801025,0.014711541123688221,0.05619635060429573,0.07100044190883636,cnn_supervised,42,0.03,0.01
0.19687899947166443,0.42259544134140015,0.4976363778114319,0.04643872380256653,0.15147054195404053,0.19380757212638855,cnn_pinn_log,42,0.03,0.01
-0.0012390842894092202,0.07739467173814774,0.10123054683208466,-0.0001702057634247467,0.0634065791964531,0.07962065190076828,supervised_mlp,42,0.03,0.03
0.08404111117124557,0.1285678744316101,0.15752096474170685,-0.3581128716468811,0.3615017235279083,0.3944200277328491,pinn_log_no_gt,42,0.03,0.03
0.08423909544944763,0.12985873222351074,0.159494549036026,-0.35620006918907166,0.3593042194843292,0.3919181227684021,pinn_log_rician_no_gt,42,0.03,0.03
0.02738235704600811,0.0858161672949791,0.11136980354785919,-0.32798776030540466,0.3307628035545349,0.35973623394966125,semi_supervised_mlp,42,0.03,0.03
-0.05019050091505051,0.13418152928352356,0.20147809386253357,-0.4890267848968506,0.4896728992462158,0.5290209650993347,pinn_log_predict_s0,42,0.03,0.03
0.016136910766363144,0.15154467523097992,0.19944362342357635,-0.4501097500324249,0.45116540789604187,0.4884801506996155,pinn_log_rician_predict_s0,42,0.03,0.03
0.001490651979111135,0.06108887493610382,0.08100660890340805,0.0007998831570148468,0.05398065969347954,0.06928189098834991,cnn_supervised,42,0.03,0.03
0.3320416510105133,0.36044856905937195,0.39223209023475647,-0.11846838891506195,0.1343226134777069,0.15648366510868073,cnn_pinn_log,42,0.03,0.03
0.02163585275411606,0.08084575086832047,0.10454240441322327,-0.009013382717967033,0.06425333023071289,0.08075199276208878,supervised_mlp,42,0.03,0.05
0.031065810471773148,0.1325685679912567,0.17229312658309937,-0.3610348105430603,0.365006685256958,0.4005851149559021,pinn_log_no_gt,42,0.03,0.05
0.05451612174510956,0.14304442703723907,0.1773657202720642,-0.3619312047958374,0.36844000220298767,0.4080080986022949,pinn_log_rician_no_gt,42,0.03,0.05
0.07776359468698502,0.11476337164640427,0.14079128205776215,-0.17642836272716522,0.18694862723350525,0.20986080169677734,semi_supervised_mlp,42,0.03,0.05
-0.05001363903284073,0.1562548130750656,0.22567647695541382,-0.3705473244190216,0.3765270411968231,0.41763460636138916,pinn_log_predict_s0,42,0.03,0.05
0.04888150840997696,0.16682696342468262,0.20598793029785156,-0.27170807123184204,0.28591132164001465,0.3220072388648987,pinn_log_rician_predict_s0,42,0.03,0.05
0.05190547928214073,0.08137253671884537,0.10237745195627213,-0.012836112640798092,0.05571720749139786,0.07103864848613739,cnn_supervised,42,0.03,0.05
0.3394300043582916,0.383725643157959,0.41707196831703186,-0.10514730215072632,0.12290009111166,0.14506366848945618,cnn_pinn_log,42,0.03,0.05
0.08330406248569489,0.11535638570785522,0.13727234303951263,-0.031764015555381775,0.07177040725946426,0.08996956050395966,supervised_mlp,42,0.03,0.08
0.17081807553768158,0.21812260150909424,0.24168826639652252,-0.11335135251283646,0.15458475053310394,0.18035344779491425,pinn_log_no_gt,42,0.03,0.08
0.1263856589794159,0.20038269460201263,0.2277056872844696,-0.1541564166545868,0.19853180646896362,0.23064720630645752,pinn_log_rician_no_gt,42,0.03,0.08
0.14867644011974335,0.17454031109809875,0.19791491329669952,-0.10399826616048813,0.13624222576618195,0.15941955149173737,semi_supervised_mlp,42,0.03,0.08
0.027713077142834663,0.1908385008573532,0.24090565741062164,-0.09040271490812302,0.16702039539813995,0.1986922025680542,pinn_log_predict_s0,42,0.03,0.08
0.08098812401294708,0.20237693190574646,0.23865289986133575,-0.08936582505702972,0.15225103497505188,0.18040786683559418,pinn_log_rician_predict_s0,42,0.03,0.08
0.15011869370937347,0.15645648539066315,0.1799067258834839,-0.027615470811724663,0.06061914563179016,0.07670845091342926,cnn_supervised,42,0.03,0.08
0.41712796688079834,0.4616754353046417,0.5096526741981506,-0.0018184967339038849,0.06931013613939285,0.08729137480258942,cnn_pinn_log,42,0.03,0.08
-0.20930157601833344,0.3089909553527832,0.41524770855903625,-0.6358084678649902,0.6358084678649902,0.662741482257843,mono_adc_as_d,42,0.05,none
0.20391464233398438,0.4330868124961853,0.5592343807220459,-0.26844295859336853,0.35554394125938416,0.45685669779777527,poly_dki_fit,42,0.05,none
-0.034980062395334244,0.12740547955036163,0.1636514812707901,0.012618845328688622,0.07564893364906311,0.09473975002765656,supervised_mlp,42,0.05,0.01
-0.07173293083906174,0.13578732311725616,0.1793559044599533,-0.5871326327323914,0.5871326327323914,0.6124675273895264,pinn_log_no_gt,42,0.05,0.01
-0.06642527133226395,0.133387953042984,0.1756615787744522,-0.5819042325019836,0.5819042325019836,0.6085776090621948,pinn_log_rician_no_gt,42,0.05,0.01
-0.041852328926324844,0.124487966299057,0.16184955835342407,-0.521872878074646,0.521873414516449,0.5432011485099792,semi_supervised_mlp,42,0.05,0.01
-0.08117786049842834,0.14025935530662537,0.18577496707439423,-0.6188430786132812,0.6188430786132812,0.6464939117431641,pinn_log_predict_s0,42,0.05,0.01
-0.01151150744408369,0.12720642983913422,0.16362500190734863,-0.550449788570404,0.550449788570404,0.5737414360046387,pinn_log_rician_predict_s0,42,0.05,0.01
-0.09102337807416916,0.10473345220088959,0.13515906035900116,0.034158896654844284,0.06633663922548294,0.08186911046504974,cnn_supervised,42,0.05,0.01
0.2256060540676117,0.41659629344940186,0.492268830537796,0.029547739773988724,0.14811693131923676,0.18530334532260895,cnn_pinn_log,42,0.05,0.01
-0.028717337176203728,0.12195201963186264,0.15828029811382294,0.007664686534553766,0.07353242486715317,0.09207566827535629,supervised_mlp,42,0.05,0.03
0.038612622767686844,0.13799621164798737,0.17602188885211945,-0.36052531003952026,0.36230751872062683,0.3942941725254059,pinn_log_no_gt,42,0.05,0.03
0.03868246078491211,0.1386709064245224,0.17742235958576202,-0.3584027588367462,0.3600921332836151,0.3920026421546936,pinn_log_rician_no_gt,42,0.05,0.03
-0.009048529900610447,0.12191303074359894,0.1584130972623825,-0.32713618874549866,0.32874560356140137,0.35732361674308777,semi_supervised_mlp,42,0.05,0.03
-0.06621340662240982,0.15343374013900757,0.21157462894916534,-0.5009802579879761,0.5012319684028625,0.5375828742980957,pinn_log_predict_s0,42,0.05,0.03
0.0030632219277322292,0.15605394542217255,0.20326393842697144,-0.460315078496933,0.46074336767196655,0.49536052346229553,pinn_log_rician_predict_s0,42,0.05,0.03
-0.039512209594249725,0.07237305492162704,0.09573064744472504,0.012781444936990738,0.057317864149808884,0.07273386418819427,cnn_supervised,42,0.05,0.03
0.3094063699245453,0.3329177796840668,0.36654528975486755,-0.09441815316677094,0.11605507880449295,0.13700851798057556,cnn_pinn_log,42,0.05,0.03
-0.00540722394362092,0.11955845355987549,0.15504944324493408,-0.0017782846698537469,0.07317454367876053,0.09175434708595276,supervised_mlp,42,0.05,0.05
0.007434921804815531,0.1440359503030777,0.18564845621585846,-0.36808672547340393,0.36993280053138733,0.4041748344898224,pinn_log_no_gt,42,0.05,0.05
0.018091099336743355,0.15119273960590363,0.19109006226062775,-0.37015780806541443,0.3734259605407715,0.41247057914733887,pinn_log_rician_no_gt,42,0.05,0.05
0.042096562683582306,0.13036607205867767,0.16641439497470856,-0.1661483645439148,0.176021546125412,0.20180276036262512,semi_supervised_mlp,42,0.05,0.05
-0.05972953885793686,0.1661534309387207,0.22805920243263245,-0.3810727596282959,0.3838641345500946,0.4241052269935608,pinn_log_predict_s0,42,0.05,0.05
0.035718291997909546,0.16465118527412415,0.20741508901119232,-0.27842557430267334,0.28712743520736694,0.3243648111820221,pinn_log_rician_predict_s0,42,0.05,0.05
0.00615613954141736,0.06857361644506454,0.08901628851890564,0.0008161920122802258,0.05535835400223732,0.07082374393939972,cnn_supervised,42,0.05,0.05
0.32142314314842224,0.3554534316062927,0.3921484053134918,-0.08413131535053253,0.1061415821313858,0.12680664658546448,cnn_pinn_log,42,0.05,0.05
0.06121651083230972,0.13327480852603912,0.1670159101486206,-0.026272250339388847,0.07682506740093231,0.09652797877788544,supervised_mlp,42,0.05,0.08
0.14983545243740082,0.20261749625205994,0.23893362283706665,-0.11432819813489914,0.14973154664039612,0.17730318009853363,pinn_log_no_gt,42,0.05,0.08
0.10418205708265305,0.18613529205322266,0.22355373203754425,-0.16037388145923615,0.19567814469337463,0.23003333806991577,pinn_log_rician_no_gt,42,0.05,0.08
0.11604800075292587,0.16557855904102325,0.20251131057739258,-0.08797737210988998,0.12571823596954346,0.15185175836086273,semi_supervised_mlp,42,0.05,0.08
0.014187023043632507,0.18492460250854492,0.2359805405139923,-0.0967751294374466,0.16378331184387207,0.19624631106853485,pinn_log_predict_s0,42,0.05,0.08
0.0686013475060463,0.19263234734535217,0.23364408314228058,-0.09318018704652786,0.14845015108585358,0.17751047015190125,pinn_log_rician_predict_s0,42,0.05,0.08
