train_sigma,seed,method,best_val_loss,final_train_loss,best_epoch
train_sigma_0.03,seed123,supervised,0.08624470233917236,0.08877540908721938,50
train_sigma_0.03,seed42,cnn_pinn_log,0.027920905500650406,0.048608061174551645,7
train_sigma_0.03,seed42,cnn_supervised,0.01100414153188467,0.010988931109507879,50
train_sigma_0.03,seed42,pinn_log,0.19901540875434875,0.1759156600755253,24
train_sigma_0.03,seed42,pinn_log_predict_s0,0.22529835999011993,0.15746173889239626,6
train_sigma_0.03,seed42,pinn_log_rician,0.199801504611969,0.1822668349117488,27
train_sigma_0.03,seed42,pinn_log_rician_predict_s0,0.23401525616645813,0.15611385562807145,6
train_sigma_0.03,seed42,semi_supervised,0.1510741114616394,0.17569641432830277,35
train_sigma_0.03,seed42,supervised,0.08917447924613953,0.08953976251638833,50
train_sigma_0.03,seed514,cnn_pinn_log,0.030010277405381203,0.057471945385138196,2
train_sigma_0.03,seed514,cnn_supervised,0.010688325390219688,0.010745893915494282,50
train_sigma_0.03,seed514,pinn_log,0.19397369027137756,0.17140602159293408,20
train_sigma_0.03,seed514,pinn_log_predict_s0,0.22720734775066376,0.14703418944406432,5
train_sigma_0.03,seed514,pinn_log_rician,0.19385981559753418,0.17667664317088652,21
train_sigma_0.03,seed514,pinn_log_rician_predict_s0,0.2211332619190216,0.1541416010643987,6
train_sigma_0.03,seed514,semi_supervised,0.14923721551895142,0.17394253830550113,50
train_sigma_0.03,seed514,supervised,0.08903255313634872,0.08779072958758456,50
train_sigma_0.05,seed123,cnn_pinn_log,0.016649959608912468,0.0638522227605184,9
train_sigma_0.05,seed123,cnn_supervised,0.01113281212747097,0.010848805556694667,48
train_sigma_0.05,seed123,pinn_log,0.2162417620420456,0.21353788796865,7
train_sigma_0.05,seed123,pinn_log_predict_s0,0.23627085983753204,0.19756740085184946,10
train_sigma_0.05,seed123,pinn_log_rician,0.21518900990486145,0.2137376454491554,8
